LU,Nota
615/18,40
1013/22,Aus.
1092/22,20
590/23,45
992/23,90
1368/23,50
755/18,35
215/21,Aus.
694/21,67
137/22,60
469/21,Aus.
103/22,30
344/19,90
695/19,Aus.
287/23,75
755/22,20
1295/24,Aus.
593/24,Aus.
392/23,90
614/23,75
278/21,Aus.
317/24,Aus.
9/24,Aus.
1140/22,Aus.
617/22,70
350/23,55
502/23,40
395/23,Aus.
1119/22,45
20/24,25
327/19,40
318/23,Aus.
677/24,35
285/22,35
798/22,37
889/22,50
464/22,10
124/23,50
236/24,100
221/22,45
405/23,60
689/22,Aus.
755/19,38
361/23,55
80/24,90
1181/23,45
872/19,55
821/21,45
1015/23,70
660/23,35
6/24,70
8/24,70
1188/22,55
645/15,40
602/23,20
734/22,88
1052/22,40
476/24,70
13/24,90
996/22,55
424/23,85
859/22,73
1636/21,85
862/22,50
428/22,Aus.
79/23,58
440/17,75
212/21,Aus.
865/22,50
766/23,Aus.
1021/23,63
315/22,50
272/21,27
1414/23,Aus.
375/22,60
361/22,Aus.
374/23,35
432/24,40
573/21,60
269/24,90
673/23,50
41/23,25
76/22,55
819/22,90
22/24,90
337/24,Aus.
95/20,65
324/24,30
172/24,55
41/24,35
313/24,45
54/18,83
350/19,25
185/24,40
325/24,97
168/24,50
12/24,50
